Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-02 00:00:00,357487,PISCINE EVOLUTION,14,POOL SPECIALIST-Retailers,-12.11,7121783,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,60061,PIACENTI PATRICK,14,POOL SPECIALIST-Retailers,1327.25,2112990,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,170067,UP-LR,14,POOL SPECIALIST-Retailers,39.68,1419377,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,330176,MES PISCINES BLAYE,15,POOL SPECIALIST-Instal/Builder,678.43,4234330,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,330374,AQUITAINE RENOVATION PISCINE,14,POOL SPECIALIST-Retailers,759.35,4234369,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,335971,COTE BASSIN,14,POOL SPECIALIST-Retailers,557.10,4234360,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,337021,COTE PISCINE - ESPRIT PISCINE,14,POOL SPECIALIST-Retailers,1863.68,4234329,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,340094,TECPREAU,32,PUBLIC POOL    -Construct.Comp,909.77,4450736,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,349674,TECHNIC PISCINES,14,POOL SPECIALIST-Retailers,149.40,4450798,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,357810,PISCINES 35 - ESPRIT PISCINE,14,POOL SPECIALIST-Retailers,1755.81,7122213,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,410145,PISCINE EG 41,14,POOL SPECIALIST-Retailers,104.06,4326488,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,450146,PIXEAU,14,POOL SPECIALIST-Retailers,274.50,1589938,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-03 00:00:00,830159,ALLO PISCINE,14,POOL SPECIALIST-Retailers,738.10,6193636,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,10113,LES COQUES DE BRESSE,16,POOL SPECIALIST-Mobile/Service,1194.22,2422709,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,240701,PM PISCINES - PASCAL MERCIER,14,POOL SPECIALIST-Retailers,888.44,4234331,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,260036,DUPRE LA TOUR PISCINE ET PAYSAGE - OASIS,14,POOL SPECIALIST-Retailers,57.17,2634412,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,294390,PISCINE & SPA 29 - ESPRIT PISCINE,14,POOL SPECIALIST-Retailers,1222.20,7122238,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,300048,ATOU'NET,16,POOL SPECIALIST-Mobile/Service,18.96,1374380,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,330326,PISCINES DE L'ATLANTIQUE,14,POOL SPECIALIST-Retailers,2054.26,4234370,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,335971,COTE BASSIN,14,POOL SPECIALIST-Retailers,69.36,4234360,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,340776,AM PISCINES 34,14,POOL SPECIALIST-Retailers,1022.70,4450807,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,347356,PISCINE PLUS JUVIGNAC - FUSION,14,POOL SPECIALIST-Retailers,50.52,4450815,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,400042,PISCINES DES GRANDS LACS,15,POOL SPECIALIST-Instal/Builder,1005.80,3053218,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,433500,COSY PISCINE/ECL OUTDOOR - EAU SHOP,14,POOL SPECIALIST-Retailers,603.77,2634450,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,560022,HYDRAMAT LANGUIDIC,14,POOL SPECIALIST-Retailers,291.50,7122230,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,590200,SUNSPA FRANCE SARL - OPALE PISCINES,14,POOL SPECIALIST-Retailers,367.29,1901893,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,726900,ANDALUZ PISCINES,14,POOL SPECIALIST-Retailers,91.50,4326511,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,810236,SRPISCINES - SEGALA PISCINES,15,POOL SPECIALIST-Instal/Builder,635.63,1138640,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-04 00:00:00,844762,INTER PISCINE,14,POOL SPECIALIST-Retailers,1619.28,1361661,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,10113,LES COQUES DE BRESSE,16,POOL SPECIALIST-Mobile/Service,1800.15,2422709,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,170068,AZULY PISCINE__C1,14,POOL SPECIALIST-Retailers,230.88,1419350,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,268041,BERNARD TERRASSEMENT PAYSAGE,27,NPOOL SPECIALIS-Irrigation Ins,21.98,2634456,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,310088,LAURAGAIS PISCINES,14,POOL SPECIALIST-Retailers,465.81,1138594,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,330374,AQUITAINE RENOVATION PISCINE,14,POOL SPECIALIST-Retailers,857.28,4234369,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,349674,TECHNIC PISCINES,14,POOL SPECIALIST-Retailers,1225.50,4450798,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,356393,OUEST PISCINE CONCEPT - HYDRO SUD,14,POOL SPECIALIST-Retailers,842.51,7122248,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,820003,A.L.WATER,16,POOL SPECIALIST-Mobile/Service,163.80,1138661,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-05 00:00:00,830997,AQUASPHERE,14,POOL SPECIALIST-Retailers,608.15,6193745,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-06 00:00:00,260024,O FIL DE L'EAU,23,NPOOL SPECIALIS-Hardware Store,112.25,2634493,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-06 00:00:00,268041,BERNARD TERRASSEMENT PAYSAGE,27,NPOOL SPECIALIS-Irrigation Ins,432.00,2634456,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2023,2023-01-06 00:00:00,319670,TECHNEAU SARL,14,POOL SPECIALIST-Retailers,19.80,1138723,25
