Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,306,BUCKLAND POOL & BUILDING COMPANY LTD,15,POOL SPECIALIST-Instal/Builder,849.73,580963,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,615,FREEDOM LEISURE  !,15,POOL SPECIALIST-Instal/Builder,75.02,580883,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,615,FREEDOM LEISURE  !,15,POOL SPECIALIST-Instal/Builder,14.6,HAZARDOUS,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,805,UK POOL STORE LTD,14,POOL SPECIALIST-Retailers,209.89,580818,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,917,LEISURE POOLS LTD,15,POOL SPECIALIST-Instal/Builder,354.43,580068,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,1159,POOL SUPPLIES LTD,12,POOL SPECIALIST-W/Man.National,725.65,580971,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,2257,HEAT PUMPS 4 POOLS LTD,15,POOL SPECIALIST-Instal/Builder,691.86,580986,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,2516,PACIFIC POOLS LTD T/A POOL TRADE COUNT,12,POOL SPECIALIST-W/Man.National,769.06,577484,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,2591,JB ELITE SERVICES LTD,15,POOL SPECIALIST-Instal/Builder,42.23,580944,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,2591,JB ELITE SERVICES LTD,15,POOL SPECIALIST-Instal/Builder,59.2,580992,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,2968,AZURE POOL SERVICES LTD,15,POOL SPECIALIST-Instal/Builder,20.16,580882,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,3313,PENINSULA POOLS LTD,15,POOL SPECIALIST-Instal/Builder,1165.84,581029,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,03/01/23 0:00,3313,PENINSULA POOLS LTD,15,POOL SPECIALIST-Instal/Builder,14.6,HAZARDOUS,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,231.11,577465,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,93.1,579218,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,1102,PBS POOLS LTD,15,POOL SPECIALIST-Instal/Builder,12.12,564991,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,1102,PBS POOLS LTD,15,POOL SPECIALIST-Instal/Builder,24.93,566886,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,1321,RS POOLS LTD,15,POOL SPECIALIST-Instal/Builder,28.04,581060,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,2569,OXFORD POOLS AND HOT TUBS LIMITED,15,POOL SPECIALIST-Instal/Builder,514.04,578412,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,2761,SAFFRON SWIMMING POOLS LTD,15,POOL SPECIALIST-Instal/Builder,117.33,556759,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,3292,CORNISH HOT TUBS LIMITED,15,POOL SPECIALIST-Instal/Builder,210.4,581120,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,3533,W D S LIMITED!,15,POOL SPECIALIST-Instal/Builder,112.28,580974,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,4019,B.T.U SUPPLIES LTD,15,POOL SPECIALIST-Instal/Builder,4.23,578374,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,04/01/23 0:00,4019,B.T.U SUPPLIES LTD,15,POOL SPECIALIST-Instal/Builder,7.73,579990,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,05/01/23 0:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,762.62,561703,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,05/01/23 0:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,27.22,575158,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,05/01/23 0:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,879.86,580893,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,05/01/23 0:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,210.89,581147,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,05/01/23 0:00,4136,AQUA PLATINUM SERVICING LTD,15,POOL SPECIALIST-Instal/Builder,139.19,581329,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,06/01/23 0:00,892,LETTS SWIMMING POOLS LIMITED,15,POOL SPECIALIST-Instal/Builder,36.89,580394,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,06/01/23 0:00,1156,POOLWORX LIMITED,15,POOL SPECIALIST-Instal/Builder,406.65,581018,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,06/01/23 0:00,1164,SWIMMING POOLS (MIDLANDS),15,POOL SPECIALIST-Instal/Builder,1621.39,581288,25
141 - CERTIKIN INTERNATIONAL LIMITED,2023,06/01/23 0:00,1268,TRACIE SKINNER T/AS PUREPOOLS,15,POOL SPECIALIST-Instal/Builder,494.01,581486,25
