Company [code+name],Year,Booking date (order),Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-17 00:00:00,069088,ALL POOL MAINTENANCE,15,POOL SPECIALIST-Instal/Builder,"646,20",2108332,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-12 00:00:00,069088,ALL POOL MAINTENANCE,15,POOL SPECIALIST-Instal/Builder,"443,04",2111695,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-08 00:00:00,069088,ALL POOL MAINTENANCE,15,POOL SPECIALIST-Instal/Builder,"416,21",2112002,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-28 00:00:00,070018,DEUX ROUES MOTOCULTURE,23,NPOOL SPECIALIS-Hardware Store,"1291,78",2630252,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-01 00:00:00,073000,DPS ARDECHE,28,NPOOL SPECIALIS-Craftsman/Plum,"137,23",2630513,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-04 00:00:00,073000,DPS ARDECHE,28,NPOOL SPECIALIS-Craftsman/Plum,"290,68",2631644,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-10 00:00:00,074630,PISCINES ET PAYSAGES - HYDRO SUD,14,POOL SPECIALIST-Retailers,"178,04",2629675,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-04 00:00:00,074630,PISCINES ET PAYSAGES - HYDRO SUD,14,POOL SPECIALIST-Retailers,"1347,22",2632465,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-10 00:00:00,076194,VDA PISCINES,14,POOL SPECIALIST-Retailers,"1324,00",2626641,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-09 00:00:00,076194,VDA PISCINES,14,POOL SPECIALIST-Retailers,"1395,30",2633021,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-19 00:00:00,076194,VDA PISCINES,14,POOL SPECIALIST-Retailers,"648,34",2633656,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-12-07 00:00:00,076194,VDA PISCINES,14,POOL SPECIALIST-Retailers,"368,24",2634261,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-30 00:00:00,076354,AUX PISCINES DU VIVARAIS,14,POOL SPECIALIST-Retailers,"1940,12",2634130,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-01 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"91,88",2627725,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-24 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"48,65",2630249,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-01 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"48,65",2630519,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-06 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"16,24",2632516,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-04 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"509,13",2633413,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-31 00:00:00,079177,SERRE DANIEL,14,POOL SPECIALIST-Retailers,"302,64",2633828,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-23 00:00:00,080130,PROTECH FILTRES,32,PUBLIC POOL    -Construct.Comp,"323,47",1900444,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-10 00:00:00,080130,PROTECH FILTRES,32,PUBLIC POOL    -Construct.Comp,"991,52",1901414,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-12-09 00:00:00,080130,PROTECH FILTRES,32,PUBLIC POOL    -Construct.Comp,"466,00",1901807,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-31 00:00:00,080130,PROTECH FILTRES,32,PUBLIC POOL    -Construct.Comp,"1862,15",9127718,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-10 00:00:00,080130,PROTECH FILTRES,32,PUBLIC POOL    -Construct.Comp,"152,36",9128041,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-12-14 00:00:00,084605,ARDEN' PISCINES LOISIRS - HYDRO SUD,14,POOL SPECIALIST-Retailers,"213,34",1901838,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-11 00:00:00,090005,HORIZON PISCINES - COOPERATIVE PISCINIER,14,POOL SPECIALIST-Retailers,"260,00",1135031,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-19 00:00:00,090005,HORIZON PISCINES - COOPERATIVE PISCINIER,14,POOL SPECIALIST-Retailers,"597,42",1136703,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-03 00:00:00,090005,HORIZON PISCINES - COOPERATIVE PISCINIER,14,POOL SPECIALIST-Retailers,"287,34",1137825,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-22 00:00:00,090544,MAIGROT SEBASTIEN EAU SERVICES,14,POOL SPECIALIST-Retailers,"1542,45",1130132,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-01 00:00:00,090544,MAIGROT SEBASTIEN EAU SERVICES,14,POOL SPECIALIST-Retailers,"49,01",1133213,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-11 00:00:00,091434,DOUET STEPHANE/TERRES DE BARREJAT,28,NPOOL SPECIALIS-Craftsman/Plum,"62,49",1134971,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-20 00:00:00,094428,LABAUME PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"1472,07",1130735,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-09 00:00:00,094428,LABAUME PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"127,75",1131930,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-21 00:00:00,094428,LABAUME PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"739,44",1138107,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-14 00:00:00,097397,CAP PISCINES__C1,14,POOL SPECIALIST-Retailers,"261,80",1129078,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-01 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"471,12",1130615,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-07 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"503,38",1134891,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-09 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"746,93",1134969,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-13 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"171,74",1135110,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-18 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"106,76",1135850,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-09 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"90,66",1135899,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-11 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"396,24",1135972,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-22 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"365,04",1136102,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-24 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"-365,04",1136102,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-30 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"292,76",1136250,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-09 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"532,13",1136470,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-26 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"514,45",1136862,25
